probe_id,gene_long_mm10,gene_short_mm10,in_segex
0610006L08Rik,0610006L08Rik,0610006L08Rik,TRUE
0610009B22Rik,0610009B22Rik,0610009B22Rik,TRUE
0610010F05Rik,0610010F05Rik,0610010F05Rik,TRUE
0610010K14Rik,0610010K14Rik,0610010K14Rik,TRUE
0610012D04Rik,0610012D04Rik,0610012D04Rik,TRUE
0610012G03Rik,0610012G03Rik,0610012G03Rik,TRUE
0610030E20Rik,0610030E20Rik,0610030E20Rik,TRUE
0610039H22Rik,0610039H22Rik,0610039H22Rik,TRUE
0610040J01Rik,0610040J01Rik,0610040J01Rik,TRUE
0710001A04Rik,0710001A04Rik,0710001A04Rik,TRUE
1110002E22Rik,1110002E22Rik,1110002E22Rik,TRUE
1110002O04Rik,1110002O04Rik,1110002O04Rik,TRUE
1110004F10Rik,1110004F10Rik,1110004F10Rik,TRUE
1110008E08Rik,1110008E08Rik,1110008E08Rik,TRUE
1110008P14Rik,1110008P14Rik,1110008P14Rik,TRUE
1110012L19Rik,1110012L19Rik,1110012L19Rik,TRUE
1110017D15Rik,1110017D15Rik,1110017D15Rik,TRUE
1110025L11Rik,1110025L11Rik,1110025L11Rik,TRUE
1110028F11Rik,1110028F11Rik,1110028F11Rik,TRUE
1110032A03Rik,1110032A03Rik,1110032A03Rik,TRUE
1110032F04Rik,1110032F04Rik,1110032F04Rik,TRUE
1110038F14Rik,1110038F14Rik,1110038F14Rik,TRUE
1110051M20Rik,1110051M20Rik,1110051M20Rik,TRUE
1110058D11Rik,1110058D11Rik,1110058D11Rik,TRUE
1110059E24Rik,1110059E24Rik,1110059E24Rik,TRUE
1110059G10Rik,1110059G10Rik,1110059G10Rik,TRUE
1110065P20Rik,1110065P20Rik,1110065P20Rik,TRUE
1190005I06Rik,1190005I06Rik,1190005I06Rik,TRUE
1190007I07Rik,1190007I07Rik,1190007I07Rik,TRUE
1190028D05Rik,1190028D05Rik,1190028D05Rik,TRUE
1300002E11Rik,1300002E11Rik,1300002E11Rik,TRUE
1300017J02Rik,1300017J02Rik,1300017J02Rik,TRUE
1500009L16Rik,1500009L16Rik,1500009L16Rik,TRUE
1500012K07Rik,1500012K07Rik,1500012K07Rik,TRUE
1500035N22Rik,1500035N22Rik,1500035N22Rik,TRUE
1600012H06Rik,1600012H06Rik,1600012H06Rik,TRUE
1600012P17Rik,1600012P17Rik,1600012P17Rik,TRUE
1600014C10Rik,1600014C10Rik,1600014C10Rik,TRUE
1600014C23Rik,1600014C23Rik,1600014C23Rik,TRUE
1600029I14Rik,1600029I14Rik,1600029I14Rik,TRUE
1600029O15Rik,1600029O15Rik,1600029O15Rik,TRUE
1700001C19Rik,1700001C19Rik,1700001C19Rik,TRUE
1700001F09Rik,1700001F09Rik,1700001F09Rik,TRUE
1700001G01Rik,1700001G01Rik,1700001G01Rik,TRUE
1700001J03Rik,1700001J03Rik,1700001J03Rik,TRUE
1700001J04Rik,1700001J04Rik,1700001J04Rik,TRUE
1700001J11Rik,1700001J11Rik,1700001J11Rik,TRUE
1700001K19Rik,1700001K19Rik,1700001K19Rik,TRUE
1700001L19Rik,1700001L19Rik,1700001L19Rik,TRUE
1700001N15Rik,1700001N15Rik,1700001N15Rik,TRUE
1700001O22Rik,1700001O22Rik,1700001O22Rik,TRUE
1700001P01Rik,1700001P01Rik,1700001P01Rik,TRUE
1700003E16Rik,1700003E16Rik,1700003E16Rik,TRUE
1700003F12Rik,1700003F12Rik,1700003F12Rik,TRUE
1700003H04Rik,1700003H04Rik,1700003H04Rik,TRUE
1700003I22Rik,1700003I22Rik,1700003I22Rik,TRUE
1700006A11Rik,1700006A11Rik,1700006A11Rik,TRUE
1700007J10Rik,1700007J10Rik,1700007J10Rik,TRUE
1700007K13Rik,1700007K13Rik,1700007K13Rik,TRUE
1700007M16Rik,1700007M16Rik,1700007M16Rik,TRUE
1700008B11Rik,1700008B11Rik,1700008B11Rik,TRUE
1700008C04Rik,1700008C04Rik,1700008C04Rik,TRUE
1700008J07Rik,1700008J07Rik,1700008J07Rik,TRUE
1700008N11Rik,1700008N11Rik,1700008N11Rik,TRUE
1700008O03Rik,1700008O03Rik,1700008O03Rik,TRUE
1700008P02Rik,1700008P02Rik,1700008P02Rik,TRUE
1700009N14Rik,1700009N14Rik,1700009N14Rik,TRUE
1700010B08Rik,1700010B08Rik,1700010B08Rik,TRUE
1700010D01Rik,1700010D01Rik,1700010D01Rik,TRUE
1700010G06Rik,1700010G06Rik,1700010G06Rik,TRUE
1700010H22Rik,1700010H22Rik,1700010H22Rik,TRUE
1700010I14Rik,1700010I14Rik,1700010I14Rik,TRUE
1700010K23Rik,1700010K23Rik,1700010K23Rik,TRUE
1700010L04Rik,1700010L04Rik,1700010L04Rik,TRUE
1700011C11Rik,1700011C11Rik,1700011C11Rik,TRUE
1700011D18Rik,1700011D18Rik,1700011D18Rik,TRUE
1700011L22Rik,1700011L22Rik,1700011L22Rik,TRUE
1700011M02Rik,1700011M02Rik,1700011M02Rik,TRUE
1700012A03Rik,1700012A03Rik,1700012A03Rik,TRUE
1700012B07Rik,1700012B07Rik,1700012B07Rik,TRUE
1700012B09Rik,1700012B09Rik,1700012B09Rik,TRUE
1700012C14Rik,1700012C14Rik,1700012C14Rik,TRUE
1700012D14Rik,1700012D14Rik,1700012D14Rik,TRUE
1700012D16Rik,1700012D16Rik,1700012D16Rik,TRUE
1700012E03Rik,1700012E03Rik,1700012E03Rik,TRUE
1700012H19Rik,1700012H19Rik,1700012H19Rik,TRUE
1700012J15Rik,1700012J15Rik,1700012J15Rik,TRUE
1700012P22Rik,1700012P22Rik,1700012P22Rik,TRUE
1700013F07Rik,1700013F07Rik,1700013F07Rik,TRUE
1700013G24Rik,1700013G24Rik,1700013G24Rik,TRUE
1700013H16Rik,1700013H16Rik,1700013H16Rik,TRUE
1700013M08Rik,1700013M08Rik,1700013M08Rik,TRUE
1700013N06Rik,1700013N06Rik,1700013N06Rik,TRUE
1700014F14Rik,1700014F14Rik,1700014F14Rik,TRUE
1700014L14Rik,1700014L14Rik,1700014L14Rik,TRUE
1700015C15Rik,1700015C15Rik,1700015C15Rik,TRUE
1700015F17Rik,1700015F17Rik,1700015F17Rik,TRUE
1700015G11Rik,1700015G11Rik,1700015G11Rik,TRUE
1700015H07Rik,1700015H07Rik,1700015H07Rik,TRUE
1700015I17Rik,1700015I17Rik,1700015I17Rik,TRUE
1700016A09Rik,1700016A09Rik,1700016A09Rik,TRUE
1700016B01Rik,1700016B01Rik,1700016B01Rik,TRUE
1700016C15Rik,1700016C15Rik,1700016C15Rik,TRUE
1700016D06Rik,1700016D06Rik,1700016D06Rik,TRUE
1700016H03Rik,1700016H03Rik,1700016H03Rik,TRUE
1700016H13Rik,1700016H13Rik,1700016H13Rik,TRUE
1700016K05Rik,1700016K05Rik,1700016K05Rik,TRUE
1700016K19Rik,1700016K19Rik,1700016K19Rik,TRUE
1700017B05Rik,1700017B05Rik,1700017B05Rik,TRUE
1700017I07Rik,1700017I07Rik,1700017I07Rik,TRUE
1700017L05Rik,1700017L05Rik,1700017L05Rik,TRUE
1700017M07Rik,1700017M07Rik,1700017M07Rik,TRUE
1700017N19Rik,1700017N19Rik,1700017N19Rik,TRUE
1700018A23Rik,1700018A23Rik,1700018A23Rik,TRUE
1700018B08Rik,1700018B08Rik,1700018B08Rik,TRUE
1700018B24Rik,1700018B24Rik,1700018B24Rik,TRUE
1700018F24Rik,1700018F24Rik,1700018F24Rik,TRUE
1700018P08Rik,1700018P08Rik,1700018P08Rik,TRUE
1700019A02Rik,1700019A02Rik,1700019A02Rik,TRUE
1700019C18Rik,1700019C18Rik,1700019C18Rik,TRUE
1700019D03Rik,1700019D03Rik,1700019D03Rik,TRUE
1700019F05Rik,1700019F05Rik,1700019F05Rik,TRUE
1700019G24Rik,1700019G24Rik,1700019G24Rik,TRUE
1700019J19Rik,1700019J19Rik,1700019J19Rik,TRUE
1700019L13Rik,1700019L13Rik,1700019L13Rik,TRUE
1700019N19Rik,1700019N19Rik,1700019N19Rik,TRUE
1700019P21Rik,1700019P21Rik,1700019P21Rik,TRUE
1700020A23Rik,1700020A23Rik,1700020A23Rik,TRUE
1700020D05Rik,1700020D05Rik,1700020D05Rik,TRUE
1700020D12Rik,1700020D12Rik,1700020D12Rik,TRUE
1700020L24Rik,1700020L24Rik,1700020L24Rik,TRUE
1700020N01Rik,1700020N01Rik,1700020N01Rik,TRUE
1700020N15Rik,1700020N15Rik,1700020N15Rik,TRUE
1700021F02Rik,1700021F02Rik,1700021F02Rik,TRUE
1700021F07Rik,1700021F07Rik,1700021F07Rik,TRUE
1700021F13Rik,1700021F13Rik,1700021F13Rik,TRUE
1700021G15Rik,1700021G15Rik,1700021G15Rik,TRUE
1700021J08Rik,1700021J08Rik,1700021J08Rik,TRUE
1700021L23Rik,1700021L23Rik,1700021L23Rik,TRUE
